书名,作者,豆瓣评分,豆瓣链接
《黄金时代》,王小波,8.8,https://book.douban.com/subject/1089243/
《过于喧嚣的孤独》,(捷克) 赫拉巴尔,8.8,https://book.douban.com/subject/6781794/
《呼兰河传》,萧红,8.8,https://book.douban.com/subject/1060852/
《看不见的城市》,[意大利]伊塔洛·卡尔维诺,8.8,https://book.douban.com/subject/1863930/
《阿特拉斯耸耸肩（上下）》,安·兰德,8.8,https://book.douban.com/subject/2302217/
《哈扎尔辞典（阳本）》,(塞尔维亚)米洛拉德·帕维奇,8.8,https://book.douban.com/subject/11528350/
《君士坦丁堡最后之恋》,[塞尔维亚]  米洛拉德·帕维奇,8.8,https://book.douban.com/subject/26431618/
《龍頭鳳尾》,馬家輝,8.8,https://book.douban.com/subject/26777069/
《遥远的救世主》,豆豆,8.8,https://book.douban.com/subject/1322455/
《小说机杼》,[英] 詹姆斯·伍德,8.8,https://book.douban.com/subject/26394876/
《当尼采哭泣》,（美）欧文 D.亚隆（Irvin D.Yalom）,8.8,https://book.douban.com/subject/5940553/
《一加一》,[英]乔乔·莫伊斯,8.8,https://book.douban.com/subject/26756565/
《奇风岁月》,[美国] 罗伯特·麦卡蒙,8.8,https://book.douban.com/subject/6016234/
《白痴》,[俄]陀思妥耶夫斯基,8.8,https://book.douban.com/subject/1859108/
《寻找光的小女孩》,[法]Cyril Massarotto,8.8,https://book.douban.com/subject/26802228/
《春雪》,[日] 三岛由纪夫,8.8,https://book.douban.com/subject/3987362/
《吃了再爱，还是爱了再吃？》,匡靖,8.8,https://book.douban.com/subject/26866648/
《克罗诺皮奥与法玛的故事》,[阿根廷] 胡里奥·科塔萨尔,8.8,https://book.douban.com/subject/10764013/
《不存在的骑士》,[意] 伊塔洛·卡尔维诺,8.8,https://book.douban.com/subject/6789551/
《五号屠场》,(美)库尔特·冯内古特,8.8,https://book.douban.com/subject/3090810/
《三体》,刘慈欣,8.8,https://book.douban.com/subject/2567698/
《傲慢与偏见》,[英] 奥斯丁,8.8,https://book.douban.com/subject/1083428/
《最好的我们》,八月长安,8.8,https://book.douban.com/subject/24754316/
《野性的呼唤》,杰克·伦敦,8.8,https://book.douban.com/subject/1883353/
《呐喊》,鲁迅,8.8,https://book.douban.com/subject/1449351/
《朱鹮》,[日] 阿部和重,8.8,https://book.douban.com/subject/26771731/
《你往何处去》,[波]显克维奇,8.8,https://book.douban.com/subject/3733083/
《危险关系》,[美] 埃尔默·伦纳德,8.8,https://book.douban.com/subject/26760972/
《千江有水千江月》,萧丽红,8.8,https://book.douban.com/subject/1791664/
《务虚笔记》,史铁生,8.8,https://book.douban.com/subject/1165173/
《一个市民的自白》,[匈] 马洛伊·山多尔,8.8,https://book.douban.com/subject/26253801/
《苦炼》,[法] 玛格丽特·尤瑟纳尔,8.8,https://book.douban.com/subject/1256406/
《张爱玲文集》,张爱玲,8.8,https://book.douban.com/subject/1004992/
《这是不是个人》,[意] 普里莫·莱维,8.8,https://book.douban.com/subject/26666138/
《万物有灵且美》,[英] 吉米·哈利,8.8,https://book.douban.com/subject/4187411/
《银河系漫游指南》,[英] 道格拉斯·亚当斯,8.8,https://book.douban.com/subject/1394364/
《浮士德博士》,(德)托马斯·曼,8.8,https://book.douban.com/subject/10473352/
《我曾侍候过英国国王》,（捷克）赫拉巴尔,8.8,https://book.douban.com/subject/1038656/
《遍地风流》,阿城,8.8,https://book.douban.com/subject/1393473/
《爱达或爱欲》,(美)弗拉基米尔·纳博科夫,8.8,https://book.douban.com/subject/24871651/
《我弥留之际》,福克纳,8.8,https://book.douban.com/subject/1082946/
《不适之地》,[美] 茱帕·拉希里,8.8,https://book.douban.com/subject/5321892/
《小说鉴赏》,[美]克林斯·布鲁克斯（C. Brooks）,8.8,https://book.douban.com/subject/1950154/
《真幌站前狂骚曲》,[日]三浦紫苑,8.8,https://book.douban.com/subject/26686802/
《炽焰燃烧》,(美) 罗恩·拉什,8.8,https://book.douban.com/subject/6791412/
《欧·亨利短篇小说选》,[美] 欧·亨利(O’Henry),8.8,https://book.douban.com/subject/1254731/
《肉桂色铺子》,[波兰]布鲁诺·舒尔茨,8.8,https://book.douban.com/subject/4191701/
《哈利·波特与密室》,[英] J. K. 罗琳,8.8,https://book.douban.com/subject/1039487/
《明朝那些事儿（壹）》,当年明月,8.8,https://book.douban.com/subject/1873231/
《故事新编》,鲁迅,8.8,https://book.douban.com/subject/1000517/
《状元媒》,叶广芩,8.8,https://book.douban.com/subject/10556006/
《机器人大师》,(波兰)斯坦尼斯拉夫·莱姆,8.8,https://book.douban.com/subject/25978738/
《神雕侠侣》,金庸,8.8,https://book.douban.com/subject/1255624/
《大秦帝国》,孙皓晖,8.8,https://book.douban.com/subject/3079029/
《彷徨》,鲁迅,8.8,https://book.douban.com/subject/1449348/
《哈利·波特与混血王子》,[英] J. K. 罗琳,8.8,https://book.douban.com/subject/1432596/
《流浪地球》,刘慈欣,8.8,https://book.douban.com/subject/3266609/
《骑兵军》,（俄）伊萨克巴别尔,8.8,https://book.douban.com/subject/1074155/
《飞越疯人院》,[美] 肯·克西,8.8,https://book.douban.com/subject/3263006/
《玩火的女孩》,[瑞典] 斯蒂格·拉森,8.8,https://book.douban.com/subject/4934552/
《繁花》,金宇澄,8.7,https://book.douban.com/subject/22714154/
《牧羊少年奇幻之旅》,[巴西]保罗·柯艾略,8.7,https://book.douban.com/subject/3608208/
《灿烂千阳》,[美] 卡勒德·胡赛尼,8.7,https://book.douban.com/subject/2143732/
《许三观卖血记》,余华,8.7,https://book.douban.com/subject/1029791/
《奇爱博士》,[英] 彼得·乔治,8.7,https://book.douban.com/subject/26791409/
《陆犯焉识》,严歌苓,8.7,https://book.douban.com/subject/6880158/
《爱情和其他魔鬼》,[哥伦比亚] 加西亚·马尔克斯,8.7,https://book.douban.com/subject/26451351/
《一个陌生女人的来信》,[奥] 斯台芬·茨威格,8.7,https://book.douban.com/subject/2154960/
《如果在冬夜，一个旅人》,[意大利] 伊塔洛·卡尔维诺,8.7,https://book.douban.com/subject/2136484/
《面纱》,[英] W.萨默塞特·毛姆,8.7,https://book.douban.com/subject/10560798/
《烛烬》,[匈] 马洛伊·山多尔,8.7,https://book.douban.com/subject/26580084/
《棋王》,阿城,8.7,https://book.douban.com/subject/1020961/
《亲爱的阿道夫》,[美] 雷·布拉德伯里,8.7,https://book.douban.com/subject/26767242/
《爱与黑暗的故事》,(以色列)阿摩司·奥兹,8.7,https://book.douban.com/subject/2245449/
《匣心记（全四册）》,伍倩,8.7,https://book.douban.com/subject/26855761/
《万物的签名》,[美]伊丽莎白·吉尔伯特（Elizabeth Gilbert）,8.7,https://book.douban.com/subject/26300508/
《喧哗与骚动》,(美)威廉﹒福克纳,8.7,https://book.douban.com/subject/1052074/
《孽子》,白先勇,8.7,https://book.douban.com/subject/1076654/
《宇宙奇趣全集》,伊塔洛·卡尔维诺,8.7,https://book.douban.com/subject/5446490/
《出埃及记》,（美）里昂·尤里斯,8.7,https://book.douban.com/subject/3228779/
《万火归一》,[阿根廷] 胡里奥·科塔萨尔,8.7,https://book.douban.com/subject/3769738/
《暗杀大师：寻找伦勃朗》,[美] 丹尼尔·席尔瓦,8.7,https://book.douban.com/subject/26813101/
《软件体的生命周期》,[美] 特德·姜,8.7,https://book.douban.com/subject/26295450/
《山月记》,[日]中岛敦,8.7,https://book.douban.com/subject/20473505/
《人·兽·鬼》,钱锺书,8.7,https://book.douban.com/subject/1058679/
《罪与罚》,[俄] 陀思妥耶夫斯基,8.7,https://book.douban.com/subject/1022632/
《鼠疫》,（法）加缪,8.7,https://book.douban.com/subject/5406559/
《殡葬人的秘密》,[美] 雷·布拉德伯里,8.7,https://book.douban.com/subject/26789635/
《仿生人会梦见电子羊吗？》,(美)菲利普·迪克,8.7,https://book.douban.com/subject/24715686/
《审判》,弗兰茨·卡夫卡,8.7,https://book.douban.com/subject/1837654/
《革命之路》,[美] 理查德·耶茨,8.7,https://book.douban.com/subject/3640067/
《天堂之火》,[英] 玛丽·瑞瑙特,8.7,https://book.douban.com/subject/26342182/
《约翰·克利斯朵夫》,（法）罗曼·罗兰,8.7,https://book.douban.com/subject/1186392/
《分成两半的子爵》,[意大利] 伊塔洛卡尔维诺,8.7,https://book.douban.com/subject/10555486/
《浮生若梦1》,缪娟,8.7,https://book.douban.com/subject/10807374/
《宇宙尽头的餐馆》,[英] 道格拉斯·亚当斯,8.7,https://book.douban.com/subject/10488563/
《弗兰妮与祖伊》,(美)J.D.塞林格,8.7,https://book.douban.com/subject/2251691/
《圣殿春秋（上）》,[英] 肯·福莱特,8.7,https://book.douban.com/subject/3783409/
《我们都发狂了》,[美]凯伦·乔伊·富勒（Karen Joy Fowler）,8.7,https://book.douban.com/subject/26861897/
《盲视》,[加] 彼得·沃茨,8.7,https://book.douban.com/subject/10608453/
《人都是要死的》,[法] 西蒙娜·德·波伏瓦,8.7,https://book.douban.com/subject/6310320/
《九三年》,[法]雨果,8.7,https://book.douban.com/subject/2042629/
《过于喧嚣的孤独 底层的珍珠》,[捷] 博·赫拉巴尔,8.7,https://book.douban.com/subject/1291199/
《球状闪电》,刘慈欣,8.7,https://book.douban.com/subject/1192090/
《芬尼根的守灵夜（第一卷）》,[爱尔兰] 詹姆斯·乔伊斯,8.7,https://book.douban.com/subject/11604737/
《游戏的终结》,(阿根廷)胡利奥·科塔萨尔,8.7,https://book.douban.com/subject/10522844/
《爱伦·坡短篇小说集》,（美）爱伦坡,8.7,https://book.douban.com/subject/1083429/
《心》,夏目漱石,8.7,https://book.douban.com/subject/1400059/
《马口鱼的诱惑》,张万新,8.7,https://book.douban.com/subject/26852313/
《百器徒然袋─風》,京極夏彥,8.7,https://book.douban.com/subject/25760809/
《似水流年》,王小波,8.7,https://book.douban.com/subject/3264642/
《A Little Life》,Hanya Yanagihara,8.7,https://book.douban.com/subject/26305332/
《西游记（全二册）》,吴承恩,8.7,https://book.douban.com/subject/1029553/
《索拉里斯星》,[波] 斯坦尼斯拉夫·莱姆,8.7,https://book.douban.com/subject/1440243/
《契诃夫短篇小说选》,契诃夫,8.7,https://book.douban.com/subject/1083435/
《奥兰多》,(英)弗吉尼亚﹒吴尔夫,8.7,https://book.douban.com/subject/1415226/
《恶棍列传》,[阿根廷]豪·路·博尔赫斯,8.7,https://book.douban.com/subject/3003466/
《那些回不去的年少时光·终场》,桐华,8.7,https://book.douban.com/subject/4732378/
《安德的游戏·三部曲》,【美】奥森·斯科特·卡德,8.7,https://book.douban.com/subject/26779789/
《米德尔马契（全二册）》,乔治 艾略特,8.7,https://book.douban.com/subject/1780564/
《只有你聽到 Calling You》,乙一,8.7,https://book.douban.com/subject/1421975/
《巫术师》,（英）约翰·福尔斯,8.7,https://book.douban.com/subject/25985298/
《天使望故乡》,[美] 托马斯·沃尔夫,8.7,https://book.douban.com/subject/3888110/
《解忧杂货店》,(日)东野圭吾,8.6,https://book.douban.com/subject/25862578/
《漫长的中场休息》,[美] 本·方登,8.6,https://book.douban.com/subject/26890281/
《小說藥方》,艾拉.柏素德(Ella Berthoud),8.6,https://book.douban.com/subject/25828877/
《一句顶一万句》,刘震云,8.6,https://book.douban.com/subject/3633461/
《我脑袋里的怪东西》,[土耳其] 奥尔罕·帕慕克,8.6,https://book.douban.com/subject/26701959/
《白鹿原》,陈忠实,8.6,https://book.douban.com/subject/1085799/
《边城》,沈从文,8.6,https://book.douban.com/subject/1057244/
